canonical_accession,tier,sequence_sha256,n_aliases,alias_accessions
00291|PETase|Micromonospora_sp.|PET|MCF0091346,2,38385c9ea89cbc859f870eb1d00a656926b2487f2cc97dce95c69b72b2b04513,0,
00292|PETase|Actinoplanes_ianthinogenes|PET|GGR16917,2,0b917050272cb84eb1640fccc2e59f185753655d01ee1de24c08d3c9dd4f7a2c,0,
00320|PETase|Micromonospora_carbonacea|PET|WP_260422593,2,dbe7ae81ca758437c65a0cb211f95a9b8ba8cd30fb2a6cc87c25f0ed4c3a4549,0,
A0A031MKR8,1,c3b6f3692061b7883018989d4a5aa8e68c386835fe45eb6b393b58031760c7e6,0,
A0A060N399,1,486d4c911f8daffa6b42b5de012af0dbaeaf8245df59cef5a91268db3bc413c6,0,
A0A060N5H2,1,6e3340512c7496b32e4ef363e5948c20b11d58df0c062819b8782459c20e8ee9,0,
A0A075B5G4,1,1d22c868245e4136edd8bf8e5a9751fbb6cbb880a38de0203aa439aba447b972,2,00121|Cutinase|Humicola_insolens|PET|A0A075B5G4;Humicola
A0A078MGG8,1,e8362fe3d37b8579a33da12e1814346f4bfad5723a810d4167e05aa24fdfd13e,0,
A0A090IVG8,1,f957c75ad9a22d89f9941a6fff6588a8d02a8b1fd00f1787509bf35b8c9e02f1,0,
A0A090KQ36,1,25d0f29fda021bd0e997d57d8992c486d6eeb46656fe4f4f982a24df3760d60c,0,
A0A0C1F4U8,1,d189287b5c9c8bb825fa2881089db107a8ce431970d37ef2d4aa9c7a162f768d,2,00145|Esterase|Kaistella_jeonii|PET_PU_PCL|WP_039353427;Kaistella
A0A0F0GA73,1,5476a437ae796fe00625369d9905c3f330691b102b3103cc14b88d91549210e4,0,
A0A0G3BI90,1,d542ffdfb244a4abd976028f3ca5b98b8499d465d8ab11bf1a56003fb9258f85,3,00099|PETase|Polyangium_brachysporum|PCL_PET|AKJ29164;00109|Triacylglycerol_lipase|Polyangium_brachysporum|PET|AKJ29164;Polyangium
A0A0G3FEJ8,1,8b12eb2e4295db4391fb311f05d6172cfef055ff9d775575caa40753050ba046,0,
A0A0G3FJ39,1,d1a1c92297a7710146d808f35f799c8c377fbe1376413e5fe52a22eba902fac2,0,
A0A0G3FL20,1,f676af5ce1bbb4f04eac7b001ae52415c1ae1b663262c4d8151060d96bdef92e,0,
A0A0K8P6T7,1,12c59fe9dab495ee536f1c2a5fc28c66e212192096c2351044d4dc139042f5af,2,00083|PETase|Ideonella_sakaiensis|PET_PEF|A0A0K8P6T7;00096|PETase|Ideonella_sakaiensis|PET_PEF|NA
A0A0K8P8E7,1,f215fc047b4ec5926e15faefd54333a71ec3937e217a71557ab01af31f111933,2,00084|MHETase|Ideonella_sakaiensis|PET|A0A0K8P8E7;Ideonella
A0A0L6CLF9,1,89df9c3d342e9f1aee0ea0201ad5e4bd8a77901892b1133f36da5c2af4b4a542,0,
A0A0P0ZE81,1,167981525fce4dc0752c8ea8fb525e44e71349d4d2ae6d140264a0502c62c7b1,0,
A0A0U5AS91,1,2d5fb11b901b046288609ad5bc521087e5fbe955c5c73e67c24c6d463eb56f36,0,
A0A101UPP1,1,362ec6f0c7866e49e332059847ea3019888d260b3025f01031275fb89a5cb9ed,0,
A0A147KJY8,1,3a7b557052ec74e461b9162ef6d717894d6e44e72b246f7e599e043079c6a107,0,
A0A150JTB6,1,bbf2a725d118ae58c5b41fab4523572f0742915e4c713d52cce90942386d2644,0,
A0A1B0Z6Y3,1,80fb44f113a36b5ffee8e1d4ffda3a7ff66bb44ff26ab897e9d99f17350af70c,2,00119|Lipase|Halopseudomonas_pelagia|PET|ANP21910;Halopseudomonas
A0A1B2HNS7,1,f819818bb0f7e4b3bf08d60d194dde58ed215e31e2e797475f530189fedd787d,0,
A0A1C4XD55,1,91e8f7f48ebb6175bb88adc126dc33bf6814bc5fc26f738c343e83aa16df3881,0,
A0A1C4XDC9,1,ac4a45beed5187cf0480b0252159ada9deb931f32d300745054a34b4f441b909,0,
A0A1C5JVZ6,1,49b41b86a01bd72d16fa754e94e363bc219129ed68f1e4ad4fcbe7c44d601c6d,1,00281|PETase|Micromonospora_rifamycinica|PET|WP_084261341
A0A1E1FNX8,1,3b51b3c5b652e78445040fb7ffd0900f6411219e4335e72e457ff27b8755773f,2,00179|Hydrolase|Bacillus_pumilus|PBAT_PBSA_PES_PCL|A0A1E1FNX8_BACPU;Bacillus
A0A1H3K3E8,1,30529d4dd7a5a8731012cab3890d3f2110d673d811531956c322a08d002ed21c,0,
A0A1H3QT72,1,525e1afc6d8d46b62b8de6a327589dae97d8bd92c88d4e4de12db85a06a55ae5,0,
A0A1H5ATK4,1,a14a348af7019f153b9d1115a88713107eee9ce154fe5fda69d37f276d05ec9c,1,00300|PETase|Amycolatopsis_tolypomycina|PET|WP_091317053
A0A1H6C9P0,1,09724da398898b3a8bc78d5b3393fa878c637832306f4a2cb775f42edd1d31a8,0,
A0A1I4Q7B4,1,b42d864c3937da84575864ac82d0aefffed4b245d25fa52d05a3e8332dfba88f,1,00237|PETase|Halopseudomonas_yangmingensis|PET|WP_093473685
A0A1I6NU60,1,6821422855fcc534351fbd432c51ab54d6130b12e5bc2eb896b60f9fbf9b3083,0,
A0A1M7II12,1,f32cbb5e0533869999c86e73c0732b698d0ed9aeb50d84a856e5d56b949fa994,0,
A0A1Q9LLU8,1,bac9408148318dded845d2bcc3e3a5b6d7fc2219419bd69ffe4d8caed652d849,0,
A0A1T4KK94,1,ac5c57ec5098410e1fd80fc8d5253a12cb503a461590e7b7c56c8aaa4e7858c7,1,00216|Cutinase|Marinactinospora_thermotolerans|PET|SJZ42839
A0A1W1ZJY9,1,38b0b0bb080567eb4c0d4ec7a40aa552b62711830ecd46feaad7c99d45565b48,0,
A0A1W2FU08,1,da357871d03c4c8655c25d9c384774bb717ac912a459bd9a9807f4da0ef426ad,0,
A0A1W6L438,1,1c9fa6be87543fb5f45af861d1e8c3eb084b604197ed6f22cac90cf43c03dfa8,0,
A0A1W6L588,1,06e97c97cbe6460a868e26e70d0d47f776cd2f324d9f978bf00f9804ad51128f,1,00176|Hydrolase|Rhizobacter_gummiphilus|PET|A0A1W6L588_9BURK
A0A1W6L7G8,1,5a37f769a5746b670a7a4dafda776c886a51c70e506e3de684e6a31ae3d5ed9b,0,
A0A1Z2SIQ1,1,e0ca5cfa1b017883b65c367514bdeaad25c185bfecac92db87be0cb520c10f87,2,00095|PET-hydrolase|Vibrio_gazogenes|PCL_PET|ASA57064;Vibrio
A0A239PER3,1,8ac0498c986a3f73f7ce0de7339c9ddc5e5c2e62e01775374b6017580022cde2,1,00299|PETase|Asanoa_hainanensis|PET|WP_144022925
A0A243SAH7,1,0e3de9e5bf59160c12e4089cd5da93b6659d20758e17f601604398bd65833906,1,00314|PETase|Streptomyces_swartbergensis|PET|WP_086599340
A0A291HVH1,1,ae9ebc4f14fb6b4836cea4c9e467cdf6dd2b9b36be5ab49f6ff255635e55ddd1,0,
A0A2P4EQG9,1,16b9c44d3c9afe52bf0ae9cc62b9e5ec84a36dd9373eef50bba81f31628d0ca1,0,
A0A2P4UJS9,1,29d55e463424f43c2727a97bfb3fa77a22f1b0490d8f28df3def11ad8eae3f14,0,
A0A316HUR8,1,494a106f0a127cf11e67076eb557ddf53ca4dbe5867d608da2c8f2befe483920,0,
A0A317D8W8,1,ead6eeb57d50c4d3881680952d11e9ba3441d4b1759172ce2fd5f1c483911d98,1,00297|PETase|Micromonospora_acroterricola|PET|PWR09075
A0A3D9SRH8,1,2abaecdcfbdb1572e8f60e94cb279d8d30b76720349943df917d879498829b00,0,
A0A3E0H050,1,ba9e0041b66ec67aacb69af82d6972dae38ebe7f29bf019832ac89be978fe3f9,0,
A0A3N2H5C7,1,5b0368d0b05a6625a6bb2e755e3a4142ad072ed46f6c804a2156e979ddc16159,0,
A0A3R9F716,1,95d0225008a338651a39e11096a9bfe7c49f118240e0ee0c1185f7ce19530468,0,
A0A413UCA3,1,4b8cf34779ab88479e7dd8cd3bd89b3eb1dc20b14791b3f2f1c62ef0c1db1785,0,
A0A420F8B0,1,ecedbfc7028e6c8c3878175dcbfbfc18f55494831506594177b2771534749e96,0,
A0A4P1LYH5,1,10eff785ec6f202f7b2dd4c33adf1582afd81f1ea0fd473ee994092cfa628d16,0,
A0A4Q7KGM3,1,4af2cb3f4171301a4267b4825733dfc6fdf028341d2e49c5a23bde04cd154243,0,
A0A4Q7L5W5,1,d765a4c36c6fc308dd04c9ddc1bb02225e9a778294acd39ec0e9a06f54eff875,1,00241|PETase|Herbihabitans_rhizosphaerae|PET|WP_130342639
A0A4Q7UDQ3,1,fc8ff57e61d02329314179655969e2419d6d025307db9002fd8e59b9c4641b4c,0,
A0A4R4PH12,1,14a75897df54ca474e8e20326ae96ddae1b4ce83d89392801d11147425993ee4,0,
A0A514JZP5,1,4cd2f8536179069b29b73ff67ca7989638cf1592973e8aa436880c71d74ca515,0,
A0A543A134,1,d070ddb833f83b2f9e75b8552b0bcb83cd946d2120d735475b1f441e11068193,0,
A0A561VZY8,1,8e250266ee6a0c335c5026471b251b2ff23eefbe820abfd8ed779acfe4f68780,1,00276|PETase|Micromonospora_taraxaci|PET|TWG17167
A0A5C4QSJ8,1,aa021d574ef9b907a0135c850f028f78ababab8458b6cbcb02b12498d6dbac1e,0,
A0A5M7BCA1,1,47358039a98627fce70d3800f4739cd4cb0505d2478e216422922866a497fa61,1,00318|PETase|Saccharopolyspora_hirsuta|PET|WP_150070118
A0A5N6AZJ9,1,80c1e08c379f7e75ea0705059656cb025e065a36a6d2a23296e0503786828e70,1,00259|PETase|Microbispora_catharanthi|PET|WP_139580723
A0A5P3LVN0,1,d3540702aeef922186f5203505d4944e32796995cacfc678bad153a735022c32,0,
A0A679PDB4,1,50dcfd817c79f20a1a22125c656e82ecaf8e357d0f7c51a5d89eb08aa669a7e5,2,00102|Hydrolase|Streptomyces_sp.|PCL|DAC80635;00226|Polyesterase|Streptomyces_sp.|PET|DAC80635
A0A6I4MG66,1,35a4e1957872758470b7dc5512bc45e6f241195b46e31b8c59b6579fd30e80d2,1,00242|PETase|Actinomadura_physcomitrii|PET|WP_151597653
A0A6I4W9J4,1,de5b2263f8fe5ee4aa55f67ee39bc4967579428cb84e0ed26496cf29168d7f56,1,00247|PETase|Actinomadura_rayongensis|PET|WP_161104454
A0A6V8KDL4,1,5d8ee3de0c898aef4e8f6645f7eb791d6ee2bf080acb515b063fadc6c0b4b730,1,00272|PETase|Phytohabitans_houttuyneae|PET|WP_173061649
A0A6V8KV47,1,9d8f14dc06a5de096124ccaae2f48d403bfb94de352c127451ed3067ab0365e8,1,00266|PETase|Phytohabitans_rumicis|PET|GFJ87714
A0A7X0EU44,1,affdf841b374c6ec76eb1dd9d90470595f310101dda02b7f392f957146ee8025,1,00233|PETase|Pseudomonas_fluvialis|PET|WP_184682765
A0A8J3LA20,1,96cfef91723ad4ecbc99e802331765658971bee774f2c6f87f7c1fa35ba75580,1,00302|PETase|Catellatospora_methionotrophica|PET|WP_239086781
A0A8J3NIL5,1,2c504e9087ef2cdb9e5b94fccb1540b90436c7b456cae317ac86b7acb7e34fa1,1,00295|PETase|Catellatospora_bangladeshensis|PET|WP_239125827
A0A8J3Q2S4,1,5c7cf3f3795379eb637113f9993517ea73917500d27e944d3437214c48996356,1,00298|PETase|Rhizocola_hellebori|PET|WP_203906211
A0A917UAD8,1,814c986105374fad7f1bcb6a3c7b8b396b0accd2f817fa174caa5dcc86120402,1,00285|PETase|Dactylosporangium_sucinum|PET|WP_229836555
A0A919NVN0,1,22537f7d1f2904f0e8cd8325804b7323b830d527752d2c49d2add3ea1c1dbca6,1,00296|PETase|Paractinoplanes_tereljensis|PET|WP_203812622
A0A919PGK4,1,2a38cc81eeee564a850345c577b2eb9846b55c781c53d5b00bd4d9cc03a965b1,1,00286|PETase|Dactylosporangium_siamense|PET|WP_239135698
A0A919PNJ3,1,7af94f1f72fadb6220dfa9ca0e22c9e0f176585e6f5f37a6a9b7e5b20de0df6b,0,
A0A941ALA2,1,d88e4bb9ca1fca65c34b975ad386ea7a2e15e5b5738064ea00ced8b5fea038f0,1,00263|PETase|Microbispora_oryzae|PET|WP_210157342
A0A9P9DYB3,1,48f19e4c22c6f612b9c7850d54094f67a22f4c6ddba1d48b4859b2075d59af35,0,
A0A9W6KVP5,1,245d31b0fba31af2ec5ee10f500571a89d49256309314d62645e3d0787ba5b84,1,00287|PETase|Dactylosporangium_matsuzakiense|PET|WP_271190254
A0A9X0I4X4,1,54fdf109826a627e04491da10092077afe91c57dd5e3b39e7fb29395a3a06d13,0,
A0AB38ZML8,1,6e03916fa306d1f27df592cbe1f17a2c2c7ce13595f941cfddbe891321dcb494,0,
A0ABM7M4R0,1,3617e7ffea570136ad05723cfcc137850acae5b1c31466aa61e25d5e6aa5fa18,1,00327|PETase|Actinoplanes_ianthinogenes|PET|WP_212846608
A0ABQ3Z6H3,1,7b3ad1f25f5c6b4208833db1e0f91a961dac88291a4519d5c8b8b7eea16dcb0d,1,00255|PETase|Paractinoplanes_durhamensis|PET|WP_203733135
A0ABQ4E7M7,1,121cccf28700aa3c965bfd270cc2e44a59782e50ebcb69cf3aaa2a81ed11244c,1,00313|PETase|Plantactinospora_endophytica|PET|GIG90696
A0ABQ5R2R9,1,77413df75298a096ef07242f8e9a1ad8c6ffba958bb25a3e3f0ec33916f791d6,1,00277|PETase|Phytohabitans_aurantiacus|PET|GLI01021
A0ABR7LG92,1,f733e98f74858dc33a5b745d35579874f96ec02f302bc3dd8d9d367080d8189f,1,00243|PETase|Actinokineospora_xionganensis|PET|WP_187224800
A0ABS0HAQ4,1,97e2dd1a4096124980ad6f15bc53b2b796d11c54768b7c61e23365d820d75a4e,1,00275|PETase|Plantactinospora_alkalitolerans|PET|MBF9135495
A0ABS4TKU6,1,021f1c78558ee5a2a6111fdb65eaf520ccfc9d46038593354db010f7997f0776,0,
A0ABS4TWQ7,1,6b644947030b51d26131b5d574888e910eeea33d1e692dd57cf761822bc6c488,1,00319|PETase|Kibdelosporangium_banguiense|PET|MBP2328848
A0ABV8LVF2,1,243bd1f10a307acc13e50e624fe2e95a56fdd477aff786a1a409f5ae8c049732,1,00326|PETase|Hamadaea_flava|PET|WP_253762837
A0ABY3Q520,1,e9c0d8b1df2150de07fca646d5c110fddcc794e4876c39da993471b9914461d2,1,00173|Esterase|Pseudomonas_sp.|PET|WP_085690612
A4Y035,1,abe2facc353f4ecb6540a89a361c08268461cb64b8dc24cf30e0e6d02a2a8ce8,0,
Alcanivorax,2,2ea8d63bb639d8b4eded6abbe9a7fd5549e1a84f215a9075ebe73242fef49d05,0,
Amycolatopsis,2,dbe9b5ecffb63510385fe8143cb0f5fea00868a078a5b0a6cb89e7b07266b916,0,
B0FLR6,1,a814cb2e3c920cbc89f7fe1304cb25ece8cd1506f9a9eb5a30f1d2262987b330,1,00148|Protease|Amycolatopsis_orientalis|PLA|B0FLR6
B0FY08,1,6786b0c1efb697a2667e795563f2472c30da4113754246491756a13440d7db69,1,00149|Protease|Amycolatopsis_orientalis|PLA|B0FY08
B2NHN2,1,c3ccb13ac6cd81ca2afd25fd05feed5ea916056663e63b6e49284d0c5bfaa310,2,00020|PHB_depolymerase|Talaromyces_funiculosus|PHB_PHA|BAG32152;Talaromyces
C7QZV3,1,0371ccd9af7fe09845db083629a80b3429aa1471c00944947fa256c97db6364b,1,00238|PETase|Jonesia_denitrificans|PET|ACV09511
D1A2H1,1,c1c7a0f12b2eb7d90721116a6632f9b8ec72cbf3e8e48f7e184624fdc9caecee,2,00135|Hydrolase|Thermomonospora_curvata|PET_PCL|D1A2H1;Thermomonospora
D1A9G5,1,1450293e4e007a49d31da8d55c591324b0a67eed6c33f9f1e74d178127d67381,1,00110|Triacylglycerol_lipase|Thermomonospora_curvata|PET|ACY96861
D4Q9N1,1,fd491bd1bcd92c28975308d02f6b0b0639f9d4fecf891011364661d0eca3258c,1,00054|Esterase|Thermobifida_alba|PCL|BAI99230
D7R6G8,1,9668d741b9f83f9fe43f19ffd2db7117a1b8e9059ec677cffb1c4b2ebdf60d1d,1,00134|nitrobenzylesterase|Bacillus_subtilis|PET|ADH43200
E5BBQ2,1,468d8eec9c7ef1fbc6d6ba7f51a7527e0a379aae1192847c95d9a2a3f270d655,0,
E8U721,1,8a75a3659854ebd8ad2f60cc12b64fa61b369b930cdcf1be209f3db54b9c72c6,0,
E9KJL1,1,bf158b9eed4482a198a270613671bb0bcc060c765cc5b5037a744c0949f336c1,1,00118|Cutinase|Pseudomonas_oleovorans|PCL_PET|ADK73612
E9LVH8,1,622f654e005640bab6abcb8a9e398a4ece6bccedb0a1980dc08aab8ae07eb3bb,1,00132|Cutinase|Thermobifida_cellulosilytica|PET_PLA|ADV92526
E9LVH9,1,cc22df287b07a27f8b1001783a75005360a14cd97a8e37182b355b8b36a7bc27,1,00133|Cutinase|Thermobifida_cellulosilytica|PET_PLA|ADV92527
F7IX06,1,e806085a30d0427b3ece1df8dfbb0979a1f8f32a7f8f50a1fd5f29c61cc3f0a7,2,00055|Esterase|Thermobifida_alba|PCL|BAK48590;Thermobifida
G8GER6,1,e53905c4de26e739ffc513985f0704f8455684498e18dfb74a758582dedfda52,2,00129|Cutinase|Thermobifida_fusca|PET|AET05798;Q47RJ7
G9BY57,1,4459cb1cff927d45ca1b9c354914af28ae78f15d75424d440c8dc9b2a4c729d2,2,00062|Cutinase|Uncultured_bacterium|PCL_PET|AEV21261;Unknown
H6WX58,1,7b94fbc000050262057a610d0657423591af15b4a47121ac163ff41abd2649f4,1,00108|Serine_hydrolase|Thermobifida_halotolerans|PET|AFA45122
I0L7L7,1,d0d6ca7a9f5d25fe18ff9907508f58d4efef83a4a4e9244afe4cde30341742a8,0,
L0EF70,1,baef8cc814ed5ea090e47088a3e201af86339dc4d261998c6741bb174421056c,1,00221|Carboxylesterase|Thermobacillus_composti|PBAT|WP_015255658
M9YBL3,1,9c3638fab9fea8d584809340e69b501c4795b347a0baee539229161403f4ae63,2,00101|PHB_depolymerase|Azotobacter_vinelandii|PHB_PHA|WP_012699077;Azotobacter
O82950,1,0ad6ede5ef28ef45c47ae4291375a7104154b2a29b30620b438e79fdd2758ad6,1,00018|PHB_depolymerase|Pseudomonas_stutzeri|P3HP_P4HB_PEA_PES_PHB_PHA|BAA32541
P00590,1,42bcb00678451cbf30f5e7a79996d91b306f1c0d96481a4a4d65430771434d92,0,
P00761,1,feefd6f59e1614366f5e5e6b9a2f57246ef45968a36d52eaba53a45d22d2dd99,0,
P00780,1,593a4fc19ba43d3f7d57ff00958775543283bbacc5f01bf42c148cacee8867ce,1,00154|Protease|Bacillus_licheniformis|PLA|P00780
P06873,1,f2f1eaf3dae2a981698cb28052b6a96c992a73d2f957bf7a09aaff8029bac6ae,2,00040|Protease|Parengyodontium_album|PLA|P06873;Parengyodontium
P08684,1,d98b2269ed529294b838f8aa92181c343c8be8aaa38704c019ad61866028ee6d,0,
P19833,1,548618f6b5a64b1bff32151bff7baafb2af24feb9321da1e82235e2e177e5ddd,3,00124|Polyester_hydrolase|Moraxella_sp.|PET_PCL_PU_PHB_PBS_PLA_PHA|P19833;00214|Lipase|Olespira_antarctica|PET|R4YKL9;Moraxella
P29599,1,83d3db437baac3b7ade7c9a4aaa1dac846662a85ed188651c16743518db2dc40,1,00153|Protease|Lederbergia_lenta|PLA|P29599
P29600,1,636fdedc2969e7202b1a13d595a8b063fbcfaa51630d684fd0b0910f6828ae2a,1,00152|Protease|Lederbergia_lenta|PLA|P29600
P41365,1,e5014ab42856b5807ef5170d01a0d5da314a320b39e61e3058fba58c10a1bc42,2,00123|Lipase|Moesziomyces_antarcticus|PET|P41365;Moesziomyces
P52956,1,4ad823e35a7ad542702ad3baddc39ff5d9a5ac4e56a98593f6eec5b8885c34b8,2,00034|Cutinase|Aspergillus_oryzae|PBS_PBSA|NA;Aspergillus
P72207,1,cf6c8ed831f1681c7bc5d261260c9409d8988a096afa0834f0f145ba4f215d11,1,00007|PHB_depolymerase|Paucimonas_lemoignei|PHB_PHA|WP_132256575
P94146,1,8280c4cfc81ca598e86f7741901b42f2e4e9c6e05c25fa77ecd1de92d2ad5fa6,2,00012|PHB_depolymerase|Alcaligenes_faecalis|PHB_PHA|AAB40611;Alcaligenes
Pseudomonas,2,18b5c022ce4e409e28ceb57856b19e2704fb2b631042b1d9f1fba5ad2f1acd3e,0,
Q0JYJ1,1,5c8de839c3de903244b1c1e86b8ebd705c8ff9ef99e071f21e771d378185dbdc,1,00165|PHA_depolymerase|Cupriavidus_necator|PHA_PHB|CAJ97183
Q0JZG9,1,7a6ff74869e4c5c0f5cd416489d2894cc43cc4fd63074a3fa1e33b660e5e73f3,2,00038|PHB_depolymerase|Cupriavidus_necator|PHB_PHA|CAJ96855;Cupriavidus
Q0K2G9,1,483b6c5bbace5b0ecbaf4d838df97dd5293ef1e5a06423ca15a5797bfd02f57b,1,00164|PHA_depolymerase|Cupriavidus_necator|PHA_PHB|CAJ95805
Q0K4D5,1,fde90ff7d03423edb455fba352e8f4a59adc957e2bd51746637a22b82093d77a,1,00162|PHA_depolymerase|Cupriavidus_necator|PHA_PHB|CAJ95139
Q0K7T2,1,45de2fd44ccbb9a3816cfc623f22d99d331754a20b0950e7556d0b24e4b6e036,1,00161|PHA_depolymerase|Cupriavidus_necator|PHA_PHB|CAJ93939
Q0K9H3,1,a497048d66e36e0ddc78dbc7809291909a4e18c916e38857b500a41d45895451,1,00166|PHA_depolymerase|Cupriavidus_necator|PHA_PHB|CAJ93348
Q0KCI0,1,e69e2f5ded9be3c618a96f572951da0a6155a101e7eb76897ea1c6ee93357835,1,00160|PHA_depolymerase|Cupriavidus_necator|PHA_PHB|CAJ92291
Q0VLQ1,1,9f8c70fae9ab6acaa85fc9a14514f12a06f40f930e70c54c2124aa3fb16c6d1e,1,00150|Hydrolase|Alcanivorax_borkumensis|PLA_PHBV_PCL_PBSA_PES_PHA|Q0VLQ1
Q47RJ6,1,a54bad3ec73c049eb45a846ac4803088b66fd0b38ad407d9090357fa20b68cc9,4,00126|Hydrolase|Thermobifida_fusca|PET|Q6A0I4;00128|Cutinase|Thermobifida_fusca|PET|Q47RJ6;00131|Cutinase|Thermobifida_fusca|PET|AET05799;Q6A0I4
Q4W8C9,1,e86f801bf6835dc7f97e714f2a61041c5ed3039737b4929bab7e10488fac90fb,1,00167|PHA_depolymerase|Cupriavidus_necator|PHA_PHB|CAJ92475
Q51870,1,0d0fac75917011d998517964c879dd337fdffe92ea2bdb519da9d15b25fb5a7d,1,00006|PHB_depolymerase|Paucimonas_lemoignei|PHB_PHA|WP_132257894
Q51871,1,860962428a76fd8c177283a7eb1567cc38b4d4b99b1a612d8bae6f45cd6af394,1,00003|PHB_depolymerase-A|Paucimonas_lemoignei|PHB_PHA|AAA65705
Q6A0I3,1,1158684b659e57bdfddfeac761a45d6ebf22858b541bdc57918f881ce6b070f2,1,00127|Hydrolase|Thermobifida_fusca|PET|CAH17554
Q6N9M9,1,c90b79d6767b81a1539ba49be33df991685288bbdb03c943e943b9a365f0d938,2,00151|Hydrolase|Rhodopseudomonas_palustris|PLA_PCL_PBSA|Q6N9M9;Rhodopseudomonas
Q7WXF6,1,9f1a9076cdf3ae2e7760a3f1b27fc085123e5524170582f1e35dd66bda4ac51d,1,00163|PHA_depolymerase|Cupriavidus_necator|PHA_PHB|AAP85930
Q83VD0,1,4c8d713089dceb6ec0c7e9bb6ac4c0a9a2a89f1cfe20cf2702b5fd36f5abe9ee,2,00027|PLA_depolymerase|Paenibacillus_amylolyticus|PLA|BAC67195;Paenibacillus
Q874E9,1,75d8737e7d268bf35c555fc16927cf69f484ee1db6bd5ceb44bbbbf69e414421,0,
Q8RR62,1,e70d974583e409f57720266af2bac1c2a0c9fb337c9765ed3c8215c1ea2c54cd,2,00024|PBS_depolymerase|Acidovorax_delafieldii|PBS|BAB86909;Acidovorax
Q939Q9,1,494cc04af895d7dc5ffaf3578d6f455fe34a45154ec986b6d8acf3d2f143d8c2,2,00063|PHB_depolymerase|Paucimonas_lemoignei|PHB_PHA|Q939Q9;Paucimonas
Q96US9.1,1,b74910e6f221f2fc7ab1e3d3024a222073f8ae6fb6a5149e2bb769f4e126e459,1,00009|Cutinase|Fusarium_verticillioides|PCL|Q96US9
Q96UT0.1,1,1f76bcfc97811a202d94d9071a46d66e66319ef9ea1783b5209acab46085fe3e,1,00008|Cutinase|Fusarium_verticillioides|PCL|Q96UT0
